feature,psi,status,media_referencia,media_atual
var_salarial_12m,4.4133,critico,0.103,0.074
meses_sem_promocao_medio_time,2.8894,critico,25.776,40.847
delta_compa_ratio_12m,2.1019,critico,0.009,0.013
meses_de_casa_medio_time,0.7824,critico,44.849,58.213
compa_ratio_medio_time,0.5959,critico,0.96,0.915
log_meses_sem_promocao,0.4273,critico,1.06,1.382
meses_de_casa,0.1387,atencao,47.245,60.227
horas_extras_media_time,0.1163,atencao,7.428,7.146
promocoes_por_ano,0.1075,atencao,0.078,0.051
subremuneracao,0.1053,atencao,0.087,0.122
pico_tenure,0.1015,atencao,0.387,0.281
tamanho_time,0.0551,ok,14.317,14.529
salario,0.0384,ok,10413.088,11835.551
idade,0.0329,ok,37.319,38.832
performance_media_time,0.027,ok,3.148,3.161
compa_ratio_vs_time,0.0236,ok,0.006,0.007
performance,0.0166,ok,3.164,3.174
num_promocoes,0.0123,ok,0.509,0.446
horas_extras,0.0056,ok,7.44,7.136
horas_extras_rel_area,0.003,ok,1.002,1.0
grade,0.0012,ok,3.572,3.578
perf_x_subremuneracao,0.0008,ok,0.018,0.021
alto_desempenho,0.0008,ok,0.241,0.221
turnover_12m_gestor,0.0,ok,0.0,0.0
